paper_title,paper_link,conference,year,repo_link,repo_star,last_update
Bridging the Gap Between Value and Policy Based Reinforcement Learning,http://papers.nips.cc/paper/6870-bridging-the-gap-between-value-and-policy-based-reinforcement-learning.pdf,NIPS,2017,https://github.com/tensorflow/models,46593,2019-01-02
"REBAR: Low-variance, unbiased gradient estimates for discrete latent variable models",http://papers.nips.cc/paper/6856-rebar-low-variance-unbiased-gradient-estimates-for-discrete-latent-variable-models.pdf,NIPS,2017,https://github.com/tensorflow/models,46593,2019-01-02
Focal Loss for Dense Object Detection,http://openaccess.thecvf.com/content_iccv_2017/html/Lin_Focal_Loss_for_ICCV_2017_paper.html,ICCV,2017,https://github.com/facebookresearch/Detectron,18356,2019-01-02
Faster R-CNN: Towards Real-Time Object Detectionwith Region Proposal Networks,https://papers.nips.cc/paper/5638-faster-r-cnn-towards-real-time-object-detection-with-region-proposal-networks.pdf,NIPS,2015,https://github.com/facebookresearch/Detectron,18356,2019-01-02
R-FCN: Object Detection via Region-based Fully Convolutional Networks,https://papers.nips.cc/paper/6465-r-fcn-object-detection-via-region-based-fully-convolutional-networks.pdf,NIPS,2016,https://github.com/facebookresearch/Detectron,18356,2019-01-02
Fast R-CNN,http://openaccess.thecvf.com/content_iccv_2015/html/Girshick_Fast_R-CNN_ICCV_2015_paper.html,ICCV,2015,https://github.com/facebookresearch/Detectron,18356,2019-01-02
Image Style Transfer Using Convolutional Neural Networks,http://openaccess.thecvf.com/content_cvpr_2016/html/Gatys_Image_Style_Transfer_CVPR_2016_paper.html,CVPR,2016,https://github.com/jcjohnson/neural-style,16435,2019-01-02
Deep Photo Style Transfer,http://openaccess.thecvf.com/content_cvpr_2017/html/Luan_Deep_Photo_Style_CVPR_2017_paper.html,CVPR,2017,https://github.com/luanfujun/deep-photo-styletransfer,8655,2019-01-02
Mask R-CNN,http://openaccess.thecvf.com/content_iccv_2017/html/He_Mask_R-CNN_ICCV_2017_paper.html,ICCV,2017,https://github.com/matterport/Mask_RCNN,9493,2019-01-02
LightGBM: A Highly Efficient Gradient Boosting Decision Tree,http://papers.nips.cc/paper/6907-lightgbm-a-highly-efficient-gradient-boosting-decision-tree.pdf,NIPS,2017,https://github.com/Microsoft/LightGBM,7536,2019-01-02
